Symbol,Name,Code,Status,Category,File,Features,Alias,Source,Source Link
,,mdi.relax,Released,,,,,,
,,mdi.wheelchair,Released,,,,,,
,,mdi.pharmacy,Released,,,,,,
,,,Released,,,,,,
,,mdi.couch,Released,,,,,,
,,mdi.mountain,Released,,,,,,
,,mdi.bus,Released,,,,,,
,,mdi.ev.station,Released,,,,,,
,,mdi.birthday,Released,,,,,,
,,mdi.gas.station,Released,,,,,,
,,mdi.bike,Released,,,,,,
,,mdi.buggy,Released,,,,,,
,,mdi.alcohol,Released,,,,,,
,,mdi.airplane.landing,Released,,,,,,
,,noun.party,Released,,,,,,
,,mdi.airplane.takeoff,Released,,,,,,
SF%20Symbols%201c951/fork.knife2x.png,Meal,fork.knife (deprecated: noun.meal),Released,"Food & Drinks, Kitchen",SF%20Symbols%201c951/noun.meal.svg,Weights,,System,
SF%20Symbols%201c951/noun.coffee2x.png,Coffee,noun.coffee,Released,Food & Drinks,SF%20Symbols%201c951/noun.coffee.svg,Hierarchical,,Noun Project,https://thenounproject.com/icon/coffee-1149468/
SF%20Symbols%201c951/mdi.ticket2x.png,Ticket,ticket.fill (deprecated: mdi.ticket),Released,,SF%20Symbols%201c951/mdi.ticket.svg,Weights,,System,
SF%20Symbols%201c951/tram.fill.tunnel2x.png,Subway,tram.fill.tunnel (deprecated: mdi.subway),Released,Transport,SF%20Symbols%201c951/mdi.subway.svg,Weights,,System,
SF%20Symbols%201c951/mdi.school2x.png,School,graduationcap.fill (deprecated: mdi.school)],Released,School,SF%20Symbols%201c951/mdi.school.svg,"Hierarchical, Weights",,System,
SF%20Symbols%201c951/mdi.running2x.png,Running,mdi.running,Released,"Humans, Sport",SF%20Symbols%201c951/mdi.running.svg,Hierarchical,,Leo,
SF%20Symbols%201c951/custom.walk2x.png,Walking,figure.walk (deprecated: custom.walk),Released,Humans,SF%20Symbols%201c951/custom.walk.svg,"Hierarchical, Weights",,System,
SF%20Symbols%201c951/custom.toothbrush2x.png,Toothbrush,custom.toothbrush,Released,Bathroom,SF%20Symbols%201c951/custom.toothbrush.svg,Hierarchical,,Noun Project,https://thenounproject.com/icon/toothbrush-3568130/
SF%20Symbols%201c951/custom.sit2x.png,Sitting,custom.sit,Released,Humans,SF%20Symbols%201c951/custom.sit.svg,Hierarchical,,Leo,
SF%20Symbols%201c951/custom.shower2x.png,Shower,custom.shower,Released,Bathroom,SF%20Symbols%201c951/custom.shower.svg,,,Flaticon,https://www.flaticon.com/free-icon/shower_2425854
SF%20Symbols%201c951/custom.razor2x.png,Razor,custom.razor,Released,Bathroom,SF%20Symbols%201c951/custom.razor.svg,,,Noun Project,https://thenounproject.com/icon/razor-2431053/
SF%20Symbols%201c951/custom.lipstick2x.png,Lipstick,custom.lipstick,Released,Bathroom,SF%20Symbols%201c951/custom.lipstick.svg,,,Flaticon,https://www.flaticon.com/free-icon/lipstick_26441
SF%20Symbols%201c951/custom.language2x.png,Language,custom.language,Released,School,SF%20Symbols%201c951/custom.language.svg,"Hierarchical, Weights",,Unknown,
SF%20Symbols%201c951/custom.hairdryer2x.png,Hairdryer,custom.hairdryer,Released,Bathroom,SF%20Symbols%201c951/custom.hairdryer.svg,Hierarchical,,Flaticon,https://www.flaticon.com/free-icon/hair-dryer_3144915
SF%20Symbols%201c951/custom.dumbbell2x.png,Dumbbell,custom.dumbbell,Released,Sport,SF%20Symbols%201c951/custom.dumbbell.svg,Hierarchical,,Flaticon,https://www.flaticon.com/free-icon/dumbbell_563828
SF%20Symbols%201c951/custom.dog2x.png,Paw,custom.dog,Released,Animals,SF%20Symbols%201c951/custom.dog.svg,Hierarchical,,Noun Project,https://thenounproject.com/icon/pet-1307711/
SF%20Symbols%201c951/custom.cooking2x.png,Cooking,custom.cooking,Released,Kitchen,SF%20Symbols%201c951/custom.cooking.svg,,,Flaticon,https://www.flaticon.com/free-icon/chef_483841
SF%20Symbols%201c951/custom.chemistry2x.png,Chemistry,custom.chemistry,Released,School,SF%20Symbols%201c951/custom.chemistry.svg,"Hierarchical, Weights",,Noun Project,https://thenounproject.com/icon/chemistry-465889/
SF%20Symbols%201c951/custom.cat2x.png,Cat,custom.cat,Released,Animals,SF%20Symbols%201c951/custom.cat.svg,,,Noun Project,https://thenounproject.com/icon/cat-158940/
SF%20Symbols%201c951/custom.ball2x.png,Ball,custom.ball,Released,Sport,SF%20Symbols%201c951/custom.ball.svg,"Hierarchical, Weights","Football, Soccer, Basketball",Flaticon,https://www.flaticon.com/de/kostenloses-icon/fussball_731944
SF%20Symbols%201c951/custom.reminders.22x.png,Reminders,custom.reminders,Released,,SF%20Symbols%201c951/custom.reminders.svg,"Color, Hierarchical, Weights",,Leo,
,Washing Machine,,Ordered,,,,,,
,Getting dressed,,Requested,,,,,,
,Baby Bottle,,Requested,,,,,,
,Folding Cloths,,Requested,,,,,,
,Meditation,,Requested,,,,,,
,Hockey,,Requested,,,,,,
,Kids,,Requested,,,,,,
,Frog,,Requested,,,,,,
,Flowers,,Requested,,,,,,
,Knitting,,Requested,,,,,,
,Plants,,Requested,,,,,,
,Candy,,Requested,,,,,,
,Shovel (garden),,Requested,,,,,,
,Cooking Pan,,Requested,,,,,,
,Ax,,Requested,,,,,,
,Martial Arts,,Requested,,,,,,
,Swimming,,Requested,,,,,,
,Clothing,,Requested,,,,,,
,Kitchen,,Requested,,,,,,
,Apple,,Requested,,,,,,
,Laundry Basket,,Requested,,,,,,
,Camping / Tent,,Requested,,,,,,
,Toilet,,Requested,,,,,,
,Dancing,,Requested,,,,,,
,Cooking Stove,,Requested,,,,,,
,Horse Riding,,Requested,,,,,,
,Cleaning Cloth,,Requested,,,,,,
,Windows,,Requested,,,,,,
,Cloths Hanger,,Requested,,,,,,
,Route / Road,,Requested,,,,,,
,Water Glass,,Requested,,,,,,
,Toilet Paper,,Requested,,,,,,
,Soap,,Requested,,,,,,
,Vacuum,,Requested,,,,,,
,Pencil,,Requested,,,,,,
,Face Mask,,Requested,,,,,,
,Dog,,Requested,,,,,,
,Tree,,Requested,,,,,,